Date,Start,End,Duration,Status,Activity,Description,Competencies,Edit,Coach Notes,Delete,Submission History
21/01/2026,1:45 PM,4:30 PM,165,Approved,Live Sessions,"Hackathon Day 2 - Session 2 - I learned how to translate technical data findings into executive-level recommendations through structured storytelling and visualization. I managed the final production phase, ensuring our visuals were titled clearly and that our recommendations were grounded in the statistical patterns we uncovered, such as the saturation of ""International Movies."" Leading the final presentation to the class allowed me to practice translating technical jargon into strategic advice, while making the impact of the data apparent through faceted line charts and percentage-based area graphs.

This has improved my insight into the User Experience (UX) of a presentation, ensuring that the audience can immediately grasp the ""so what"" of the data. It allows me to understand the difference between an academic exercise and a professional business presentation, including the strategic decision to cut certain goals due to time constraints to maintain quality. These skills enhance my ability to present complex findings to senior leadership, ensuring that findings are converted into actionable business advice rather than just raw numbers.",K9 B7 S14 S12 K7," - "," - "," - "," - "
21/01/2026,10:00 AM,12:15 PM,135,Approved,Live Sessions,"Hackathon Day 2 - Session 1 - I learned how to transition from an individual contributor to a technical lead by taking responsibility for the ""Collate and Interpret"" phase of the project. I facilitated a collaborative environment by hosting a live-coding session where I integrated code snippets from multiple team members while troubleshooting technical obstacles, such as identifying that a ""Prophet"" forecasting code was incompatible with our kernel version. I developed a manual workaround to achieve the trend analysis we required, specifically focusing on the ""Year on Year"" movement of genre categories to identify that ""International Shows"" dominate with a 20% share.

This has given me a better understanding of ""Technical Conformity"" in a team setting and the importance of environment management in data science. It improved my insight into how to identify significant trends—such as the top three movie categories (Dramas, International, Comedies) remaining static for three years—rather than just reporting current totals. In a business context, these skills enhance my ability to pivot when technical tools fail and ensure I can deliver deep, trend-based insights that directly address a competitor's strategy.",K14 S12 S13 B2 B5," - "," - "," - "," - "
20/01/2026,1:30 PM,6:00 PM,270,Approved,Live Sessions,"Hackathon Day 1 - Session 2 - I learned how to standardize collaborative coding environments by establishing a ""Master DataFrame"" architecture that ensures team-wide consistency. I moved from individual analysis to a lead integration role, where I created specific ""Movie"" and ""TV"" subsets that acted as the universal source for all subsequent team visualizations. I focused on standardizing variable naming conventions and data types across multiple code snippets contributed by peers to prevent merge conflicts and logic errors during the synthesis phase.

This has improved my confidence in managing the ""helper data"" layer of a project, ensuring that every chart—from genre distribution to title growth—feeds from the same filtered logic. It allows me to understand the difference between isolated analysis and building a scalable, reproducible pipeline that others can easily plug into. This is directly applicable in the workplace when collaborating on shared repositories or notebooks, as it reduces the time spent on troubleshooting divergent datasets and ensures the final report is logically structured and ready for stakeholder presentation.",B3 K10 K11 S12 S15," - "," - "," - "," - "
20/01/2026,9:30 AM,12:30 PM,180,Approved,Live Sessions,"Hackathon Day 1 - Session 1 - I learned how to initiate a high-pressure data project by framing a business problem and executing a rigorous data engineering workflow on a dataset of over 8,000 Netflix titles. I explored the ""Understand the Problem"" phase of the analytics lifecycle, translating the CEO’s brief into technical tasks focused on identifying how a competitor could optimize its library. On a technical level, I moved beyond basic cleaning to perform advanced data recovery; this involved using .loc indexing to re-map structured errors (such as the Louis C.K. duration/rating swap) and implementing robust handling for missing values in categorical columns like director and country to prevent them from skewing counts.

This has given me a better understanding of the ""heavy lifting"" required in the pre-processing stage, which often accounts for the majority of an analyst's time. I practiced feature engineering by using Regex to extract numerical values from strings (e.g., pulling ""90"" from ""90 min"") and creating a ""Years Since Release"" metric to analyse acquisition strategy. These skills enhance my ability to architect multi-layered data structures that support complex queries rather than simply viewing a flat spreadsheet. In the workplace, this ensures that any analysis I provide is built on a ""single version of truth"" where ""Unknown"" values are accounted for and dates are standardized to ISO 8601.",B4 S15 S11 K11 K13," - "," - "," - "," - "
11/02/2026,3:30 PM,4:00 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how to perform time-series forecasting using non-programmatic tools, specifically Excel and Power BI. I explored the technical differences between Linear Regression (fitting a straight line to data) and Exponential Triple Smoothing (ETS), which accounts for smoothing, trend, and seasonality. Through a practical exercise with a bike-sharing dataset, I learned how to manually configure seasonality parameters—such as setting a 365-day cycle for daily data—to improve forecast accuracy when automated ""Auto"" detections fail.

This has given me a better understanding of how to interpret 95% confidence intervals and the importance of data volume; I now understand that forecasting an annual trend with only 18 months of data requires human intuition to supplement the algorithm. I have improved my confidence in using the Forecast Sheet feature in Excel and the Analytics pane in Power BI to generate projections. These skills enhance my ability to quickly provide stakeholders with demand forecasts and visual ""what-if"" scenarios without the need for complex coding, ensuring that business planning is supported by both historic patterns and statistical ranges of uncertainty.",K14 S15 B7 S13," - "," - "," - "," - "
11/02/2026,3:00 PM,3:30 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how to implement the numpy.datetime64 and timedelta64 classes to handle dates and times within a high-performance numerical computing context. I explored how NumPy stores dates as 64-bit integers to achieve greater memory efficiency than native Python objects, and learned the technical process of using time unit codes (e.g., [D] for days, [ms] for milliseconds) to define the resolution and scaling of temporal data.

This has given me a better understanding of how to perform array-focused optimizations, such as generating date sequences with np.arange and calculating business days using np.is_busday and np.busday_count. I have improved my confidence in casting between Python, NumPy, and Pandas types, while remaining mindful of the ""NaT"" (Not a Time) error state and the loss of timezone awareness during conversion. These skills enhance my ability to process large-scale datasets where memory overhead is a concern, allowing me to calculate lead times and productivity metrics across thousands of records efficiently.",K11 B2 S15 K6," - "," - "," - "," - "
11/02/2026,2:30 PM,3:00 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how to utilize the Python built-in datetime library to create and manipulate individual date and time objects outside of a dataframe context. I explored the technical differences between naive and aware objects, learning how to use tzinfo and dateutil to embed specific UTC offsets into data to prevent errors when coordinating events across different global regions.

This has given me a better understanding of the ISO 8601 standard, providing a universal framework for representing dates that reduces ambiguity in data exchange. I have improved my insight into using strptime for custom string parsing and timedelta for basic temporal arithmetic, which enhances my ability to configure the initial environment and data types correctly before they are even passed into analytical tools. In the workplace, this ensures that I can handle ""raw"" timestamp data from varied sources—like server logs or international client exports—ensuring they are calibrated to the correct timezone from the point of ingestion.",B4 K5 K11 S15," - "," - "," - "," - "
04/02/2026,1:00 PM,4:30 PM,210,Approved,Live Sessions,"I learned how to manipulate and analyze temporal data using the Pandas library in Python, specifically focusing on the handling of datetime objects, periods, and timedeltas. I learned the technical process of parsing date strings, setting datetime indexes, and using frequency-based grouping to aggregate data. By practicing time-based slicing and arithmetic, I discovered how to isolate specific time windows and calculate the duration between events, which is essential for preparing raw data for formal analysis.

This has given me a better understanding of how to manage complex data structures within a data analysis lifecycle. I have improved my confidence in resampling datasets to different frequencies, which allows me to understand the difference between high-frequency noise and long-term trends. These skills enhance my ability to clean and transform organizational data into clear visualisations, ensuring that time-based reports are accurate and logically structured for stakeholders.",K14 S10 K3 K7 K13 S2 S4 S5 S13 S14 S15 B3 B4," - "," - "," - "," - "
14/01/2026,3:00 PM,6:30 PM,210,Approved,Live Sessions,"I learned the foundational principles of time series analysis, focusing on how to prepare and model data that changes over time. During the workshop, I explored techniques for data pre-processing, including resampling to different time frequencies and applying smoothing methods like moving averages to reduce noise. I learned how to decompose a time series into its constituent parts—trend, seasonality, and residuals—and how to test for stationarity and autocorrelation to determine if a dataset is suitable for forecasting.

This has given me a better understanding of how statistical methodologies like correlation and variance apply specifically to temporal data. I have improved my confidence in using Python libraries such as Pandas and Matplotlib to transform raw timestamps into actionable visualisations. These skills enhance my ability to identify patterns and predict future trends within our organisational datasets, allowing me to provide more accurate forecasts for business planning.",K7 K3 S10 S15 S14 S13 B3 S2 K14 K13 B4," - "," - "," - "," - "
14/01/2026,2:30 PM,3:00 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how to choose an appropriate time series forecasting model by analysing the characteristics of the data and understanding the strengths and limitations of ARIMA, SARIMA, and SARIMAX models. I developed a clearer understanding that ARIMA is best suited for non-seasonal time series data that can be made stationary through differencing, while SARIMA extends ARIMA to explicitly model recurring seasonal patterns.

I also learned that SARIMAX further extends SARIMA by incorporating exogenous variables, allowing external factors such as marketing activity, weather conditions, or major events to be included as regressors. This makes SARIMAX particularly suitable for real-world scenarios where the target variable is influenced by factors beyond its own historical values.

The learning emphasised the importance of performing key checks before selecting a model, including assessing stationarity using statistical tests such as the Augmented Dickey-Fuller test, identifying seasonality through decomposition or autocorrelation analysis, and evaluating whether external variables are relevant. I also learned that model complexity should be balanced with interpretability, as simpler models can often perform just as effectively when the data does not warrant added complexity.

In addition, I explored common mistakes in time series modelling, such as ignoring underlying data patterns, overfitting, neglecting model assumptions, and failing to account for external influences. Understanding these pitfalls has reinforced the importance of exploratory data analysis, assumption checking, and validation techniques such as cross-validation.

Finally, I reviewed practical recommendations for applying these models to real-world use cases, including retail sales forecasting, electricity demand forecasting, stock price prediction, and website traffic analysis. This has improved my ability to select and justify appropriate forecasting models based on data behaviour, business context, and analytical objectives.",S10 K13 S11 S2 B4 B5 K14," - "," - "," - "," - "
